node,value,variable,i1,i2
2,0.04587875366210875,H_heat_prod,HeatPump,5
2,0.0,H_heat_prod,Boiler,10
2,0.0,C_heat_unmet,4
2,0.0,C_heat_unmet,1
2,0.0,C_heat_unmet,12
2,0.0,C_heat_unmet,20
2,-8.646647022128189e-7,C_heat_unmet,2
2,0.0,C_heat_unmet,6
2,0.11953283563505351,C_heat_unmet,22
2,0.0,C_heat_unmet,11
2,0.0,C_heat_unmet,13
2,0.0,C_heat_unmet,5
2,0.0,C_heat_unmet,15
2,0.0,C_heat_unmet,16
2,0.0,C_heat_unmet,14
2,0.0,C_heat_unmet,21
2,0.0,C_heat_unmet,7
2,0.0,C_heat_unmet,8
2,0.0,C_heat_unmet,17
2,0.0,C_heat_unmet,10
2,0.0,C_heat_unmet,19
2,0.0,C_heat_unmet,9
2,0.0,C_heat_unmet,18
2,0.0,C_heat_unmet,3
2,0.0,invest_master,HeatPump
2,0.0,invest_master,Geothermal
2,0.0,invest_master,Boiler
2,389140.6859837253,obj,
2,0.02928446827306426,invest,HeatPump
2,0.013306168004086199,invest,Geothermal
2,0.7281507659423299,invest,Boiler
24,0.0,C_heat_prod,HeatPump,15
24,0.055064811706543496,C_heat_prod,Geothermal,9
24,0.149024620056153,C_heat_prod,Geothermal,17
24,0.0,C_heat_prod,HeatPump,3
24,0.13338111877441475,C_heat_prod,Geothermal,16
24,0.007164611816406778,C_heat_prod,Geothermal,3
24,0.022084655761719325,C_heat_prod,Geothermal,5
24,0.0,C_heat_prod,HeatPump,17
24,0.18786434173584052,C_heat_prod,Geothermal,19
24,0.0,C_heat_prod,HeatPump,6
24,0.09490620930989652,C_heat_prod,Geothermal,13
24,0.014553680419922457,C_heat_prod,Geothermal,4
24,0.2528171920776375,C_heat_prod,Geothermal,21
24,0.21399482727050853,C_heat_prod,Geothermal,20
24,0.0,C_heat_prod,HeatPump,19
24,8.646647141397078e-7,C_heat_prod,HeatPump,2
24,0.0,C_heat_prod,HeatPump,12
24,8.646647141397078e-7,C_heat_prod,Geothermal,2
24,0.0,C_heat_prod,HeatPump,16
24,0.04622634887695375,C_heat_prod,Geothermal,8
24,0.16683003743489652,C_heat_prod,Geothermal,18
24,0.0,C_heat_prod,HeatPump,18
24,0.0,C_heat_prod,HeatPump,4
24,0.0,C_heat_prod,HeatPump,1
24,0.2528171920776375,C_heat_prod,Geothermal,22
24,0.0,C_heat_prod,HeatPump,7
24,0.06419891357421925,C_heat_prod,Geothermal,10
24,0.25543918609619004,C_heat_prod,HeatPump,22
24,0.0,C_heat_prod,HeatPump,13
24,0.0,C_heat_prod,HeatPump,8
24,0.0,C_heat_prod,HeatPump,9
24,0.0,C_heat_prod,HeatPump,14
24,0.11930062611897851,C_heat_prod,Geothermal,15
24,0.0,C_heat_prod,HeatPump,10
24,0.037912216186524,C_heat_prod,Geothermal,7
