quantile,variable,count,technology,heat_production,primary_energy,CO2_emissions,OpEx,Q,period,ssp
10,CDH,44.166666666666664,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4034800204005264,0.44220000000000004,2030s,ssp245
11,CDH,20.833333333333332,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4034800204005264,0.48642,2030s,ssp245
12,CDH,11.5,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4034800204005264,0.53064,2030s,ssp245
13,CDH,6.0,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4034800204005264,0.57486,2030s,ssp245
14,CDH,5.0,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4034800204005264,0.6190800000000001,2030s,ssp245
15,CDH,2.3333333333333335,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4034800204005264,0.6633,2030s,ssp245
1,CDH,628.3333333333334,BTES,0.04654736842105263,0.0,0.0,0.0,0.04422,2030s,ssp245
2,CDH,522.6666666666666,BTES,0.09309473684210526,0.0,0.0,0.0,0.08844,2030s,ssp245
3,CDH,427.0,BTES,0.09309473684210526,0.0,0.0,0.0,0.13266,2030s,ssp245
4,CDH,343.1666666666667,BTES,0.09309473684210526,0.0,0.0,0.0,0.17688,2030s,ssp245
5,CDH,262.6666666666667,BTES,0.09309473684210526,0.0,0.0,0.0,0.22110000000000002,2030s,ssp245
6,CDH,194.5,BTES,0.09309473684210526,0.0,0.0,0.0,0.26532,2030s,ssp245
7,CDH,137.33333333333334,BTES,0.09309473684210526,0.0,0.0,0.0,0.30954000000000004,2030s,ssp245
8,CDH,94.0,BTES,0.09309473684210526,0.0,0.0,0.0,0.35376,2030s,ssp245
9,CDH,69.0,BTES,0.09309473684210526,0.0,0.0,0.0,0.39798,2030s,ssp245
10,CDH,44.166666666666664,BTES,0.09309473684210526,0.0,0.0,0.0,0.44220000000000004,2030s,ssp245
11,CDH,20.833333333333332,BTES,0.09309473684210526,0.0,0.0,0.0,0.48642,2030s,ssp245
12,CDH,11.5,BTES,0.09309473684210526,0.0,0.0,0.0,0.53064,2030s,ssp245
13,CDH,6.0,BTES,0.09309473684210526,0.0,0.0,0.0,0.57486,2030s,ssp245
14,CDH,5.0,BTES,0.09309473684210526,0.0,0.0,0.0,0.6190800000000001,2030s,ssp245
15,CDH,2.3333333333333335,BTES,0.09309473684210526,0.0,0.0,0.0,0.6633,2030s,ssp245
1,CDH,628.3333333333334,unmet_demand,0.0,0.0,0.0,0.0,0.04422,2030s,ssp245
2,CDH,522.6666666666666,unmet_demand,0.0,0.0,0.0,0.0,0.08844,2030s,ssp245
3,CDH,427.0,unmet_demand,0.0,0.0,0.0,0.0,0.13266,2030s,ssp245
4,CDH,343.1666666666667,unmet_demand,0.0,0.0,0.0,0.0,0.17688,2030s,ssp245
5,CDH,262.6666666666667,unmet_demand,0.0,0.0,0.0,0.0,0.22110000000000002,2030s,ssp245
6,CDH,194.5,unmet_demand,0.0,0.0,0.0,0.0,0.26532,2030s,ssp245
7,CDH,137.33333333333334,unmet_demand,0.0,0.0,0.0,0.0,0.30954000000000004,2030s,ssp245
8,CDH,94.0,unmet_demand,0.0,0.0,0.0,0.0,0.35376,2030s,ssp245
9,CDH,69.0,unmet_demand,0.0,0.0,0.0,0.0,0.39798,2030s,ssp245
10,CDH,44.166666666666664,unmet_demand,0.0,0.0,0.0,0.0,0.44220000000000004,2030s,ssp245
11,CDH,20.833333333333332,unmet_demand,0.0,0.0,0.0,0.0,0.48642,2030s,ssp245
12,CDH,11.5,unmet_demand,0.0,0.0,0.0,0.0,0.53064,2030s,ssp245
13,CDH,6.0,unmet_demand,0.0,0.0,0.0,0.0,0.57486,2030s,ssp245
14,CDH,5.0,unmet_demand,0.0,0.0,0.0,0.0,0.6190800000000001,2030s,ssp245
15,CDH,2.3333333333333335,unmet_demand,0.0,0.0,0.0,0.0,0.6633,2030s,ssp245
1,CDH,614.3333333333334,HeatPump,0.0,0.0,0.0,0.0,0.04422,2030s,ssp370
2,CDH,540.1666666666666,HeatPump,0.0,0.0,0.0,0.0,0.08844,2030s,ssp370
3,CDH,433.0,HeatPump,0.0,0.0,0.0,0.0,0.13266,2030s,ssp370
