period,ssp,tech,power,cost,th_max,th_min,th_eff
2080s,ssp370,HeatPump,0.20161949500159823,100809.74750079912,3.015723596486405,0.5819983922627018,1.5550343274769987
2080s,ssp370,BTES,0.2552675889522497,204214.07116179977,0.2552675889522497,0.2552675889522497,0.2552675889522497
2080s,ssp585,Geothermal,0.06493461079405477,19480.383238216433,1.059555753765899,0.3597191910531222,0.5583911743718823
2080s,ssp585,Boiler,0.0,0.0,0.0,0.0,0.0
2080s,ssp585,HeatPump,0.23078471575023302,115392.3578751165,3.45196238583411,0.7457808089468779,1.8589955922015111
2080s,ssp585,BTES,0.3258315789473684,260665.26315789475,0.3258315789473684,0.3258315789473684,0.3258315789473684
2090s,ssp126,Geothermal,0.04616561430277964,13849.684290833893,0.753296919200538,0.23235508798699014,0.33547556429949893
2090s,ssp126,Boiler,0.6787300479737218,67873.00479737218,0.6108570431763497,0.6108570431763497,0.6108570431763497
2090s,ssp126,HeatPump,0.15213925865246777,76069.62932623389,2.275622961294286,0.4391678688366603,1.0528538265257281
2090s,ssp126,BTES,0.18618947368421052,148951.57894736843,0.18618947368421052,0.18618947368421052,0.18618947368421052
2090s,ssp245,Geothermal,0.05286470008069578,15859.410024208733,0.8626077288621895,0.2856015421859589,0.40728286990011175
2090s,ssp245,Boiler,0.23222325636476096,23222.325636476096,0.20900093072828488,0.20900093072828488,0.20900093072828488
2090s,ssp245,HeatPump,0.20883997469955726,104419.98734977863,3.123723921568627,0.6551175270857562,1.504503588102139
2090s,ssp245,BTES,0.23273684210526316,186189.47368421053,0.23273684210526316,0.23273684210526316,0.23273684210526316
2090s,ssp370,Geothermal,0.06344767934155225,19034.303802465674,1.0352930877286557,0.36070005705672453,0.5397668996728536
2090s,ssp370,Boiler,0.08167267947464098,8167.267947464098,0.07350541152717688,0.07350541152717688,0.07350541152717688
2090s,ssp370,HeatPump,0.1881645342342269,94082.26711711346,2.8144710208084485,0.6270745314160986,1.506614250843539
2090s,ssp370,BTES,0.29725237771517227,237801.9021721378,0.29725237771517227,0.29725237771517227,0.29725237771517227
2090s,ssp585,Geothermal,0.04103109230017907,12309.32769005372,0.6695155233599218,0.23958427804004553,0.3802586902151094
2090s,ssp585,Boiler,0.0,0.0,0.0,0.0,0.0
2090s,ssp585,HeatPump,0.34542131360134265,172710.65680067134,5.166639298192082,1.1885577306757626,2.961830672370665
2090s,ssp585,BTES,0.5120210526315789,409616.84210526315,0.5120210526315789,0.5120210526315789,0.5120210526315789
