,ssp,period,quantile,count,variable
122,ssp119,2071-2081,1.83515014648435,2147,HDH
127,ssp119,2071-2081,2.43077189127602,2038,HDH
128,ssp119,2071-2081,3.0313781738281,1996,HDH
129,ssp119,2071-2081,3.63480224609373,1962,HDH
126,ssp119,2071-2081,4.2382873535156,2076,HDH
123,ssp119,2071-2081,4.8474182128906,2144,HDH
120,ssp119,2071-2081,5.46485493977862,2214,HDH
121,ssp119,2071-2081,6.0920471191406,2200,HDH
119,ssp119,2071-2081,6.7457336425781,2354,HDH
117,ssp119,2071-2081,7.42415974934894,2404,HDH
118,ssp119,2071-2081,8.12185770670571,2404,HDH
116,ssp119,2071-2081,8.81697184244789,2479,HDH
113,ssp119,2071-2081,9.54146423339842,2640,HDH
112,ssp119,2071-2081,10.3686075846354,2870,HDH
114,ssp119,2071-2081,11.3660491943359,2580,HDH
115,ssp119,2071-2081,12.7873392740885,2527,HDH
111,ssp119,2071-2081,14.9491383870442,3710,HDH
131,ssp119,2071-2081,31.8296569824219,27,HDH
902,ssp119,2081-2091,0,82512,CDH
922,ssp119,2081-2091,3.45865885655883E-05,153,CDH
904,ssp119,2081-2091,0.286584472656273,315,CDH
903,ssp119,2081-2091,0.582147216796898,332,CDH
907,ssp119,2081-2091,0.883386230468773,306,CDH
905,ssp119,2081-2091,1.19264119466148,311,CDH
910,ssp119,2081-2091,1.51648864746096,289,CDH
908,ssp119,2081-2091,1.84905395507815,300,CDH
906,ssp119,2081-2091,2.20259246826174,307,CDH
913,ssp119,2081-2091,2.56795654296877,244,CDH
909,ssp119,2081-2091,2.96079915364586,292,CDH
914,ssp119,2081-2091,3.36797485351565,244,CDH
915,ssp119,2081-2091,3.79624837239586,244,CDH
912,ssp119,2081-2091,4.26107177734377,253,CDH
919,ssp119,2081-2091,4.77202504475914,213,CDH
918,ssp119,2081-2091,5.33524475097659,230,CDH
917,ssp119,2081-2091,5.96098480224612,233,CDH
911,ssp119,2081-2091,6.67320149739586,276,CDH
916,ssp119,2081-2091,7.51457366943362,244,CDH
920,ssp119,2081-2091,8.55979309082034,187,CDH
921,ssp119,2081-2091,10.1126876831055,163,CDH
923,ssp119,2081-2091,20.3302551269531,0,CDH
132,ssp119,2081-2091,0,41515,HDH
152,ssp119,2081-2091,2.64485676861881E-05,1034,HDH
148,ssp119,2081-2091,0.621908569335915,2047,HDH
151,ssp119,2081-2091,1.23366902669269,1974,HDH
150,ssp119,2081-2091,1.83515014648435,2031,HDH
149,ssp119,2081-2091,2.43077189127602,2036,HDH
147,ssp119,2081-2091,3.0313781738281,2097,HDH
146,ssp119,2081-2091,3.63480224609373,2174,HDH
145,ssp119,2081-2091,4.2382873535156,2198,HDH
141,ssp119,2081-2091,4.8474182128906,2310,HDH
140,ssp119,2081-2091,5.46485493977862,2362,HDH
139,ssp119,2081-2091,6.0920471191406,2416,HDH
142,ssp119,2081-2091,6.7457336425781,2264,HDH
144,ssp119,2081-2091,7.42415974934894,2202,HDH
143,ssp119,2081-2091,8.12185770670571,2250,HDH
138,ssp119,2081-2091,8.81697184244789,2510,HDH
136,ssp119,2081-2091,9.54146423339842,2559,HDH
137,ssp119,2081-2091,10.3686075846354,2520,HDH
135,ssp119,2081-2091,11.3660491943359,2562,HDH
134,ssp119,2081-2091,12.7873392740885,2583,HDH
133,ssp119,2081-2091,14.9491383870442,3969,HDH
153,ssp119,2081-2091,31.8296569824219,35,HDH
924,ssp126,2021-2031,0,82659,CDH
944,ssp126,2021-2031,3.45865885655883E-05,176,CDH
928,ssp126,2021-2031,0.286584472656273,293,CDH
925,ssp126,2021-2031,0.582147216796898,327,CDH
926,ssp126,2021-2031,0.883386230468773,321,CDH
927,ssp126,2021-2031,1.19264119466148,300,CDH
930,ssp126,2021-2031,1.51648864746096,277,CDH
933,ssp126,2021-2031,1.84905395507815,264,CDH
931,ssp126,2021-2031,2.20259246826174,276,CDH
932,ssp126,2021-2031,2.56795654296877,276,CDH
929,ssp126,2021-2031,2.96079915364586,287,CDH
935,ssp126,2021-2031,3.36797485351565,242,CDH
934,ssp126,2021-2031,3.79624837239586,252,CDH
936,ssp126,2021-2031,4.26107177734377,226,CDH
937,ssp126,2021-2031,4.77202504475914,225,CDH
943,ssp126,2021-2031,5.33524475097659,191,CDH
941,ssp126,2021-2031,5.96098480224612,207,CDH
938,ssp126,2021-2031,6.67320149739586,220,CDH
939,ssp126,2021-2031,7.51457366943362,211,CDH
942,ssp126,2021-2031,8.55979309082034,207,CDH
940,ssp126,2021-2031,10.1126876831055,211,CDH
945,ssp126,2021-2031,20.3302551269531,0,CDH
154,ssp126,2021-2031,0,40728,HDH
174,ssp126,2021-2031,2.64485676861881E-05,1094,HDH
171,ssp126,2021-2031,0.621908569335915,2101,HDH
173,ssp126,2021-2031,1.23366902669269,2066,HDH
164,ssp126,2021-2031,1.83515014648435,2260,HDH
163,ssp126,2021-2031,2.43077189127602,2294,HDH
169,ssp126,2021-2031,3.0313781738281,2181,HDH
167,ssp126,2021-2031,3.63480224609373,2192,HDH
172,ssp126,2021-2031,4.2382873535156,2097,HDH
170,ssp126,2021-2031,4.8474182128906,2147,HDH
165,ssp126,2021-2031,5.46485493977862,2229,HDH
166,ssp126,2021-2031,6.0920471191406,2225,HDH
168,ssp126,2021-2031,6.7457336425781,2188,HDH
162,ssp126,2021-2031,7.42415974934894,2313,HDH
159,ssp126,2021-2031,8.12185770670571,2430,HDH
157,ssp126,2021-2031,8.81697184244789,2595,HDH
158,ssp126,2021-2031,9.54146423339842,2551,HDH
160,ssp126,2021-2031,10.3686075846354,2416,HDH
161,ssp126,2021-2031,11.3660491943359,2341,HDH
156,ssp126,2021-2031,12.7873392740885,2683,HDH
155,ssp126,2021-2031,14.9491383870442,4455,HDH
175,ssp126,2021-2031,31.8296569824219,62,HDH
946,ssp126,2031-2041,0,81224,CDH
966,ssp126,2031-2041,3.45865885655883E-05,160,CDH
960,ssp126,2031-2041,0.286584472656273,314,CDH
957,ssp126,2031-2041,0.582147216796898,329,CDH
964,ssp126,2031-2041,0.883386230468773,299,CDH
949,ssp126,2031-2041,1.19264119466148,353,CDH
962,ssp126,2031-2041,1.51648864746096,309,CDH
950,ssp126,2031-2041,1.84905395507815,353,CDH
954,ssp126,2031-2041,2.20259246826174,341,CDH
959,ssp126,2031-2041,2.56795654296877,322,CDH
956,ssp126,2031-2041,2.96079915364586,333,CDH
951,ssp126,2031-2041,3.36797485351565,352,CDH
955,ssp126,2031-2041,3.79624837239586,336,CDH
952,ssp126,2031-2041,4.26107177734377,352,CDH
948,ssp126,2031-2041,4.77202504475914,358,CDH
961,ssp126,2031-2041,5.33524475097659,310,CDH
953,ssp126,2031-2041,5.96098480224612,344,CDH
947,ssp126,2031-2041,6.67320149739586,376,CDH
958,ssp126,2031-2041,7.51457366943362,326,CDH
965,ssp126,2031-2041,8.55979309082034,278,CDH
963,ssp126,2031-2041,10.1126876831055,303,CDH
967,ssp126,2031-2041,20.3302551269531,0,CDH
